level,age,goal,learning_style,time_available,vocab_score,grammar_score,listening_score,speaking_score,reading_score,writing_score,recommended_path,next_focus,top_3_recommendations
B2,22,Phỏng vấn,App,1,76,69,62,84,70,66,IELTS prep,Nói,Vocabulary: Travel; Listening: Map Labelling; Grammar: Present Perfect
B2,27,Giao tiếp,App,14,68,76,69,68,76,84,Conversation intensive,Nghe,Writing: Paragraph Structure; Vocabulary: Travel; Vocabulary: Work
B2,28,IELTS 6.5,Ví dụ,3,73,72,78,63,72,71,Beginner path,Ngữ pháp,Reading: News Articles; Reading: Short Stories; Writing: Paragraph Structure
A2,19,IELTS 6.5,Ví dụ,6,22,36,40,36,41,57,General English,Nghe,Writing: Email Format; Grammar: Past Simple; Speaking: Introductions
A1,23,Phỏng vấn,App,11,24,45,34,15,25,30,General English,Nghe,Listening: Map Labelling; Vocabulary: Travel; Vocabulary: Work
C1,22,Phỏng vấn,App,1,75,100,95,79,100,85,Conversation intensive,Từ vựng,Speaking: Daily Routine; Listening: Conversations; Writing: Email Format
B2,17,Phỏng vấn,Nghe,14,70,60,77,77,71,72,Beginner path,Đọc,Writing: Paragraph Structure; Listening: Conversations; Vocabulary: Work
C1,33,IELTS 6.5,Nghe,3,100,97,83,79,90,96,Conversation intensive,Nói,Reading: Short Stories; Speaking: Introductions; Grammar: Present Perfect
B1,15,IELTS 6.5,Nghe,1,55,48,56,67,67,67,General English,Ngữ pháp,Listening: Conversations; Grammar: Past Simple; Grammar: Present Perfect
A2,29,Giao tiếp,App,11,39,51,38,46,58,40,Beginner path,Nói,Grammar: Past Simple; Speaking: Daily Routine; Writing: Email Format
A2,32,IELTS 6.5,Nghe,1,44,47,46,46,48,26,Conversation intensive,Ngữ pháp,Reading: News Articles; Reading: Short Stories; Vocabulary: Work
B1,26,Phỏng vấn,App,13,71,75,61,52,44,65,Conversation intensive,Nói,Speaking: Introductions; Grammar: Present Perfect; Reading: Short Stories
B1,18,Giao tiếp,App,14,54,63,65,67,56,69,Beginner path,Viết,Speaking: Daily Routine; Speaking: Introductions; Writing: Paragraph Structure
A2,22,Phỏng vấn,App,10,43,49,28,47,26,56,Beginner path,Đọc,Listening: Conversations; Grammar: Present Perfect; Grammar: Past Simple
A2,17,Phỏng vấn,Nghe,1,31,45,56,47,72,36,IELTS prep,Ngữ pháp,Listening: Conversations; Grammar: Present Perfect; Reading: Short Stories
A2,35,IELTS 6.5,App,7,54,64,46,42,57,62,Conversation intensive,Nghe,Reading: Short Stories; Listening: Conversations; Vocabulary: Work
B1,30,Phỏng vấn,App,14,50,61,78,47,67,57,Beginner path,Từ vựng,Speaking: Introductions; Listening: Conversations; Writing: Email Format
B1,28,Phỏng vấn,Nghe,1,60,65,57,48,71,58,IELTS prep,Nghe,Listening: Conversations; Vocabulary: Travel; Reading: Short Stories
B1,19,IELTS 6.5,Đọc,6,54,47,52,54,48,60,IELTS prep,Viết,Vocabulary: Travel; Speaking: Daily Routine; Grammar: Present Perfect
B1,25,Giao tiếp,Nghe,13,73,90,45,58,50,51,Beginner path,Nói,Listening: Map Labelling; Vocabulary: Work; Grammar: Past Simple
A1,34,Phỏng vấn,Nghe,9,19,42,27,25,31,41,General English,Nghe,Speaking: Introductions; Speaking: Daily Routine; Reading: News Articles
B2,27,Phỏng vấn,Nghe,7,69,81,53,74,62,80,Beginner path,Nghe,Reading: Short Stories; Writing: Paragraph Structure; Listening: Map Labelling
A1,23,Giao tiếp,App,6,17,47,21,42,39,25,Conversation intensive,Từ vựng,Listening: Map Labelling; Listening: Conversations; Grammar: Past Simple
B1,24,IELTS 6.5,Đọc,3,65,52,49,57,52,49,Conversation intensive,Từ vựng,Vocabulary: Travel; Reading: News Articles; Grammar: Past Simple
A2,33,Giao tiếp,App,14,37,41,49,65,37,68,General English,Nghe,Grammar: Past Simple; Writing: Paragraph Structure; Listening: Map Labelling
B2,31,Phỏng vấn,Đọc,1,76,69,79,69,78,55,IELTS prep,Nghe,Speaking: Introductions; Speaking: Daily Routine; Reading: News Articles
B1,24,IELTS 6.5,Nghe,3,73,51,49,60,72,58,Beginner path,Ngữ pháp,Reading: News Articles; Speaking: Introductions; Reading: Short Stories
B1,32,IELTS 6.5,Đọc,11,49,62,58,38,63,47,Beginner path,Nghe,Speaking: Daily Routine; Vocabulary: Work; Grammar: Present Perfect
B2,26,Phỏng vấn,Ví dụ,4,86,61,69,91,78,97,IELTS prep,Nghe,Grammar: Past Simple; Listening: Map Labelling; Vocabulary: Work
B2,26,Giao tiếp,App,10,67,61,77,78,79,79,Beginner path,Viết,Speaking: Daily Routine; Reading: News Articles; Writing: Email Format
B1,19,IELTS 6.5,Ví dụ,7,76,47,58,57,60,66,Beginner path,Ngữ pháp,Vocabulary: Work; Grammar: Present Perfect; Vocabulary: Travel
A1,26,IELTS 6.5,Ví dụ,11,17,33,34,22,28,19,Beginner path,Viết,Vocabulary: Travel; Speaking: Daily Routine; Listening: Conversations
B2,25,Giao tiếp,Ví dụ,2,74,79,90,79,74,85,Beginner path,Từ vựng,Writing: Paragraph Structure; Vocabulary: Travel; Reading: News Articles
A1,19,Giao tiếp,Đọc,5,46,41,39,34,34,20,Beginner path,Đọc,Grammar: Past Simple; Speaking: Introductions; Speaking: Daily Routine
B1,24,Giao tiếp,App,6,40,67,58,90,66,61,IELTS prep,Viết,Speaking: Introductions; Listening: Map Labelling; Reading: Short Stories
B1,32,Giao tiếp,Nghe,4,75,65,63,48,37,56,Conversation intensive,Ngữ pháp,Reading: Short Stories; Grammar: Present Perfect; Listening: Map Labelling
B2,33,Giao tiếp,Ví dụ,14,93,74,81,95,78,76,General English,Từ vựng,Vocabulary: Travel; Listening: Conversations; Writing: Email Format
A2,15,Phỏng vấn,App,15,35,47,42,31,58,45,Conversation intensive,Nghe,Writing: Email Format; Vocabulary: Work; Reading: Short Stories
B2,27,Phỏng vấn,Nghe,11,58,85,52,87,68,58,IELTS prep,Đọc,Grammar: Present Perfect; Listening: Map Labelling; Reading: Short Stories
A1,22,Giao tiếp,Ví dụ,12,44,29,46,34,39,28,General English,Viết,Speaking: Daily Routine; Vocabulary: Travel; Grammar: Present Perfect
A2,34,Phỏng vấn,Đọc,11,34,39,40,49,39,50,IELTS prep,Từ vựng,Grammar: Past Simple; Writing: Email Format; Writing: Paragraph Structure
A2,16,IELTS 6.5,Nghe,8,40,39,46,40,46,44,IELTS prep,Đọc,Writing: Paragraph Structure; Listening: Conversations; Listening: Map Labelling
B1,20,Giao tiếp,Đọc,11,45,60,70,65,74,55,Conversation intensive,Viết,Vocabulary: Work; Writing: Paragraph Structure; Speaking: Daily Routine
B1,25,Giao tiếp,Đọc,9,74,67,49,63,51,76,Conversation intensive,Nói,Listening: Conversations; Writing: Email Format; Reading: News Articles
C1,31,Phỏng vấn,Ví dụ,9,97,94,98,76,78,100,Conversation intensive,Viết,Grammar: Past Simple; Listening: Map Labelling; Vocabulary: Work
C1,25,IELTS 6.5,Ví dụ,6,94,92,79,80,87,75,General English,Nghe,Vocabulary: Travel; Writing: Email Format; Grammar: Present Perfect
A2,15,Phỏng vấn,Đọc,13,38,34,59,69,29,60,Conversation intensive,Nghe,Vocabulary: Travel; Speaking: Daily Routine; Reading: News Articles
A1,26,IELTS 6.5,Ví dụ,11,0,48,25,26,38,17,Conversation intensive,Nói,Grammar: Present Perfect; Listening: Conversations; Writing: Email Format
C1,35,Phỏng vấn,Ví dụ,9,93,92,75,80,85,84,IELTS prep,Nghe,Grammar: Past Simple; Reading: News Articles; Writing: Paragraph Structure
B2,25,Phỏng vấn,Đọc,13,69,70,73,88,72,73,Beginner path,Nói,Speaking: Daily Routine; Grammar: Present Perfect; Vocabulary: Travel
A2,27,Giao tiếp,Nghe,8,33,51,44,45,55,63,Beginner path,Viết,Grammar: Past Simple; Vocabulary: Travel; Speaking: Introductions
A2,18,IELTS 6.5,Ví dụ,6,22,47,36,60,26,43,IELTS prep,Ngữ pháp,Vocabulary: Travel; Grammar: Present Perfect; Listening: Map Labelling
A1,16,Giao tiếp,Ví dụ,4,29,36,21,49,19,31,IELTS prep,Viết,Reading: Short Stories; Grammar: Present Perfect; Listening: Conversations
B1,17,Giao tiếp,Ví dụ,3,77,53,91,75,63,68,Beginner path,Nói,Speaking: Introductions; Vocabulary: Travel; Grammar: Present Perfect
A1,31,IELTS 6.5,Ví dụ,6,34,21,29,24,38,18,General English,Nói,Reading: News Articles; Vocabulary: Work; Grammar: Present Perfect
C1,29,Giao tiếp,Đọc,8,83,99,87,83,100,94,IELTS prep,Viết,Speaking: Daily Routine; Grammar: Past Simple; Grammar: Present Perfect
A2,25,Phỏng vấn,Ví dụ,1,50,40,42,62,49,37,Conversation intensive,Đọc,Listening: Conversations; Writing: Paragraph Structure; Grammar: Past Simple
A1,33,Phỏng vấn,App,2,13,29,39,37,26,17,Beginner path,Từ vựng,Speaking: Daily Routine; Vocabulary: Work; Speaking: Introductions
C1,25,Giao tiếp,App,6,85,84,69,97,100,79,Beginner path,Ngữ pháp,Vocabulary: Work; Speaking: Introductions; Listening: Map Labelling
A1,19,Phỏng vấn,Nghe,3,32,33,38,37,34,31,Conversation intensive,Viết,Reading: News Articles; Writing: Email Format; Vocabulary: Work
C1,19,Phỏng vấn,Ví dụ,12,100,81,93,87,100,96,IELTS prep,Đọc,Reading: Short Stories; Listening: Map Labelling; Listening: Conversations
C1,30,Phỏng vấn,App,9,92,95,75,100,64,85,Conversation intensive,Đọc,Reading: News Articles; Grammar: Past Simple; Listening: Map Labelling
B1,20,IELTS 6.5,App,12,43,50,51,54,52,68,General English,Ngữ pháp,Reading: Short Stories; Writing: Paragraph Structure; Grammar: Past Simple
B1,29,Giao tiếp,Đọc,12,78,64,60,61,74,59,Beginner path,Viết,Speaking: Introductions; Listening: Map Labelling; Reading: News Articles
C1,27,Giao tiếp,Đọc,8,91,99,98,79,87,83,Beginner path,Đọc,Writing: Email Format; Vocabulary: Work; Reading: Short Stories
B2,26,Phỏng vấn,Ví dụ,9,91,73,80,79,80,78,IELTS prep,Nói,Grammar: Past Simple; Listening: Conversations; Writing: Paragraph Structure
B2,19,Giao tiếp,Ví dụ,13,70,84,82,76,75,43,Beginner path,Nói,Reading: News Articles; Listening: Conversations; Speaking: Daily Routine
A1,16,IELTS 6.5,Ví dụ,8,45,28,19,23,22,25,IELTS prep,Nghe,Writing: Paragraph Structure; Speaking: Daily Routine; Writing: Email Format
B2,28,Phỏng vấn,App,11,78,68,66,76,77,77,Conversation intensive,Viết,Speaking: Introductions; Listening: Map Labelling; Grammar: Past Simple
C1,30,IELTS 6.5,Đọc,5,98,98,90,75,95,89,General English,Nói,Vocabulary: Travel; Listening: Map Labelling; Reading: News Articles
C1,18,IELTS 6.5,Ví dụ,8,81,84,80,100,93,100,IELTS prep,Ngữ pháp,Speaking: Introductions; Grammar: Present Perfect; Speaking: Daily Routine
B2,26,IELTS 6.5,Nghe,2,82,70,69,75,80,68,Beginner path,Viết,Writing: Paragraph Structure; Writing: Email Format; Reading: News Articles
B2,34,IELTS 6.5,Ví dụ,11,81,64,81,60,57,77,General English,Đọc,Vocabulary: Work; Writing: Paragraph Structure; Reading: News Articles
A1,17,Phỏng vấn,Đọc,12,26,49,31,28,43,32,Beginner path,Từ vựng,Writing: Paragraph Structure; Speaking: Introductions; Listening: Map Labelling
C1,29,Phỏng vấn,App,2,100,89,98,83,93,85,Conversation intensive,Nói,Listening: Conversations; Vocabulary: Work; Grammar: Present Perfect
B2,21,Phỏng vấn,App,3,80,71,86,71,75,76,General English,Từ vựng,Speaking: Introductions; Grammar: Present Perfect; Vocabulary: Work
B2,35,Giao tiếp,Ví dụ,14,72,66,62,79,72,70,IELTS prep,Đọc,Listening: Conversations; Listening: Map Labelling; Vocabulary: Travel
B1,26,Giao tiếp,Đọc,6,44,63,84,44,60,53,IELTS prep,Nghe,Grammar: Present Perfect; Grammar: Past Simple; Vocabulary: Travel
B2,17,IELTS 6.5,Đọc,11,74,80,82,58,81,79,Beginner path,Từ vựng,Listening: Map Labelling; Speaking: Introductions; Speaking: Daily Routine
B2,34,Phỏng vấn,App,15,64,76,65,63,77,82,General English,Nghe,Listening: Map Labelling; Grammar: Present Perfect; Reading: News Articles
A2,26,Giao tiếp,Ví dụ,8,45,37,57,34,38,64,General English,Ngữ pháp,Writing: Email Format; Vocabulary: Travel; Grammar: Past Simple
B2,26,Phỏng vấn,Đọc,1,61,79,83,67,78,78,IELTS prep,Nói,Grammar: Past Simple; Listening: Map Labelling; Writing: Email Format
C1,21,IELTS 6.5,Nghe,5,81,78,85,100,91,80,IELTS prep,Từ vựng,Speaking: Introductions; Listening: Map Labelling; Writing: Paragraph Structure
A2,19,Phỏng vấn,Ví dụ,7,41,41,35,50,51,34,Conversation intensive,Ngữ pháp,Vocabulary: Work; Grammar: Past Simple; Reading: Short Stories
B2,20,Giao tiếp,App,11,56,71,67,78,85,91,General English,Ngữ pháp,Speaking: Introductions; Grammar: Present Perfect; Reading: News Articles
A1,26,Phỏng vấn,Ví dụ,14,26,24,35,24,21,34,Beginner path,Nói,Vocabulary: Work; Speaking: Daily Routine; Grammar: Past Simple
A1,23,IELTS 6.5,App,6,14,30,31,17,23,16,General English,Viết,Writing: Email Format; Writing: Paragraph Structure; Vocabulary: Travel
A1,25,IELTS 6.5,Nghe,12,32,18,28,15,17,45,Beginner path,Đọc,Reading: Short Stories; Listening: Map Labelling; Grammar: Past Simple
A2,30,IELTS 6.5,App,10,47,43,31,35,50,28,IELTS prep,Đọc,Grammar: Past Simple; Grammar: Present Perfect; Speaking: Introductions
B1,23,Giao tiếp,App,9,62,71,42,53,68,65,Beginner path,Nói,Grammar: Past Simple; Grammar: Present Perfect; Speaking: Daily Routine
B1,25,Giao tiếp,Nghe,8,69,39,62,66,44,64,General English,Đọc,Vocabulary: Travel; Listening: Map Labelling; Writing: Paragraph Structure
A2,30,IELTS 6.5,Nghe,1,43,50,46,54,51,57,General English,Nghe,Speaking: Daily Routine; Listening: Map Labelling; Reading: Short Stories
A1,22,Phỏng vấn,Ví dụ,6,41,12,33,38,22,28,General English,Đọc,Writing: Email Format; Grammar: Past Simple; Listening: Map Labelling
A2,21,IELTS 6.5,Ví dụ,7,23,52,47,40,55,43,Beginner path,Đọc,Writing: Email Format; Speaking: Daily Routine; Reading: News Articles
B2,31,Giao tiếp,App,7,73,86,80,62,56,68,Conversation intensive,Viết,Listening: Conversations; Vocabulary: Travel; Reading: Short Stories
A1,29,IELTS 6.5,App,2,41,34,22,23,27,18,Conversation intensive,Nghe,Vocabulary: Travel; Listening: Conversations; Speaking: Introductions
B2,22,Giao tiếp,Nghe,12,85,64,83,87,97,58,Conversation intensive,Nói,Grammar: Present Perfect; Vocabulary: Travel; Writing: Paragraph Structure
B1,24,Phỏng vấn,Nghe,4,63,49,61,68,62,63,Conversation intensive,Nói,Grammar: Past Simple; Listening: Conversations; Speaking: Daily Routine
A2,17,Giao tiếp,Ví dụ,5,43,38,38,40,39,30,IELTS prep,Đọc,Writing: Paragraph Structure; Vocabulary: Work; Reading: News Articles
C1,19,Giao tiếp,Nghe,9,72,86,100,95,68,70,Beginner path,Nói,Vocabulary: Work; Grammar: Past Simple; Grammar: Present Perfect
A2,17,Phỏng vấn,App,13,36,44,34,39,48,53,Beginner path,Từ vựng,Vocabulary: Travel; Reading: News Articles; Grammar: Past Simple
A2,19,Giao tiếp,App,9,62,34,50,49,61,40,IELTS prep,Nghe,Speaking: Introductions; Speaking: Daily Routine; Vocabulary: Travel
A2,27,Giao tiếp,App,6,45,42,47,40,33,36,Conversation intensive,Nghe,Vocabulary: Work; Listening: Map Labelling; Grammar: Present Perfect
B2,18,IELTS 6.5,App,9,68,87,85,71,80,85,IELTS prep,Đọc,Grammar: Past Simple; Vocabulary: Work; Listening: Map Labelling
B2,15,Phỏng vấn,Đọc,2,88,57,71,55,100,72,General English,Nghe,Vocabulary: Work; Listening: Map Labelling; Speaking: Daily Routine
A1,28,IELTS 6.5,Đọc,5,40,21,23,19,43,42,IELTS prep,Từ vựng,Writing: Paragraph Structure; Vocabulary: Travel; Speaking: Introductions
C1,35,Phỏng vấn,Nghe,1,94,93,88,98,73,86,IELTS prep,Nói,Vocabulary: Travel; Vocabulary: Work; Writing: Paragraph Structure
A1,26,Giao tiếp,Đọc,15,38,36,25,25,29,16,Conversation intensive,Nghe,Grammar: Past Simple; Writing: Paragraph Structure; Grammar: Present Perfect
B1,23,Giao tiếp,Đọc,7,69,63,51,68,48,56,Conversation intensive,Ngữ pháp,Reading: Short Stories; Writing: Paragraph Structure; Writing: Email Format
B2,34,Phỏng vấn,Nghe,8,77,83,72,90,78,86,General English,Ngữ pháp,Reading: News Articles; Grammar: Present Perfect; Listening: Conversations
A1,34,Phỏng vấn,Nghe,9,29,12,27,22,13,13,IELTS prep,Viết,Listening: Map Labelling; Vocabulary: Work; Grammar: Past Simple
A1,29,Giao tiếp,Ví dụ,12,23,19,25,30,24,24,Beginner path,Ngữ pháp,Speaking: Daily Routine; Vocabulary: Work; Listening: Conversations
B2,17,Giao tiếp,Ví dụ,3,67,76,88,56,86,85,Beginner path,Từ vựng,Listening: Map Labelling; Vocabulary: Travel; Grammar: Past Simple
B1,30,IELTS 6.5,App,5,49,58,66,44,67,49,Conversation intensive,Nói,Listening: Map Labelling; Vocabulary: Travel; Writing: Paragraph Structure
A2,19,Giao tiếp,Nghe,1,41,32,45,46,51,49,Beginner path,Ngữ pháp,Writing: Email Format; Reading: Short Stories; Speaking: Introductions
B1,33,Phỏng vấn,Đọc,5,63,71,65,50,52,67,Beginner path,Viết,Grammar: Past Simple; Writing: Paragraph Structure; Reading: News Articles
C1,28,Giao tiếp,Ví dụ,6,83,90,94,84,100,86,IELTS prep,Ngữ pháp,Speaking: Daily Routine; Writing: Email Format; Grammar: Present Perfect
B1,19,Phỏng vấn,Đọc,8,64,68,75,60,43,54,General English,Đọc,Vocabulary: Travel; Vocabulary: Work; Speaking: Daily Routine
B1,26,Phỏng vấn,Ví dụ,15,63,66,65,58,54,61,Conversation intensive,Nghe,Writing: Paragraph Structure; Reading: Short Stories; Grammar: Past Simple
A1,23,Giao tiếp,Nghe,1,20,25,24,31,29,26,Conversation intensive,Nói,Grammar: Present Perfect; Listening: Conversations; Grammar: Past Simple
C1,30,Phỏng vấn,Đọc,2,89,74,89,89,90,87,Beginner path,Nghe,Reading: News Articles; Grammar: Present Perfect; Listening: Map Labelling
B2,18,Phỏng vấn,Đọc,9,73,66,67,55,66,84,IELTS prep,Từ vựng,Speaking: Daily Routine; Writing: Email Format; Listening: Map Labelling
A2,32,IELTS 6.5,Đọc,14,57,24,50,47,37,50,IELTS prep,Nghe,Listening: Conversations; Speaking: Daily Routine; Grammar: Present Perfect
B1,27,Giao tiếp,App,6,52,51,62,43,43,69,Beginner path,Nghe,Listening: Map Labelling; Reading: News Articles; Listening: Conversations
B1,35,IELTS 6.5,Ví dụ,11,59,59,45,58,56,63,General English,Nói,Listening: Conversations; Listening: Map Labelling; Grammar: Present Perfect
B2,15,IELTS 6.5,Đọc,9,80,82,65,63,72,52,General English,Từ vựng,Writing: Email Format; Listening: Conversations; Vocabulary: Travel
B1,16,IELTS 6.5,App,3,62,63,79,58,69,38,General English,Từ vựng,Writing: Email Format; Speaking: Introductions; Grammar: Past Simple
A1,23,IELTS 6.5,App,6,47,21,35,22,36,43,IELTS prep,Từ vựng,Reading: News Articles; Speaking: Introductions; Writing: Paragraph Structure
C1,21,Giao tiếp,Nghe,15,100,91,93,90,98,100,Conversation intensive,Viết,Vocabulary: Travel; Grammar: Past Simple; Listening: Map Labelling
A2,33,Phỏng vấn,Nghe,5,43,40,59,41,49,53,Beginner path,Nghe,Vocabulary: Work; Reading: Short Stories; Grammar: Past Simple
B2,23,Giao tiếp,Ví dụ,14,66,63,81,80,56,77,General English,Nói,Reading: Short Stories; Grammar: Past Simple; Speaking: Introductions
A2,29,Phỏng vấn,Đọc,10,39,52,62,65,40,30,General English,Ngữ pháp,Reading: Short Stories; Writing: Email Format; Grammar: Present Perfect
B1,21,Giao tiếp,Nghe,7,74,53,53,53,43,62,IELTS prep,Nói,Writing: Paragraph Structure; Speaking: Daily Routine; Reading: News Articles
A1,19,IELTS 6.5,Nghe,9,44,31,34,24,41,35,Beginner path,Nghe,Reading: News Articles; Listening: Conversations; Speaking: Introductions
B1,23,Giao tiếp,Ví dụ,14,66,62,45,88,59,72,Conversation intensive,Ngữ pháp,Reading: News Articles; Grammar: Present Perfect; Grammar: Past Simple
A2,30,Giao tiếp,Nghe,4,53,49,34,45,44,33,Conversation intensive,Nói,Vocabulary: Travel; Vocabulary: Work; Reading: Short Stories
A2,30,IELTS 6.5,Nghe,10,37,39,30,32,69,43,Beginner path,Đọc,Writing: Email Format; Listening: Map Labelling; Reading: Short Stories
B1,31,Giao tiếp,Nghe,8,72,62,38,84,61,75,Conversation intensive,Viết,Listening: Conversations; Vocabulary: Work; Speaking: Introductions
C1,24,Phỏng vấn,Nghe,3,92,89,89,100,98,83,Beginner path,Nói,Reading: Short Stories; Listening: Conversations; Reading: News Articles
A2,31,IELTS 6.5,Nghe,3,39,62,50,30,50,56,Conversation intensive,Từ vựng,Grammar: Present Perfect; Listening: Map Labelling; Reading: News Articles
B2,34,Giao tiếp,App,10,80,76,71,60,60,78,Beginner path,Ngữ pháp,Vocabulary: Work; Speaking: Daily Routine; Reading: Short Stories
C1,32,IELTS 6.5,Đọc,4,100,99,100,91,83,97,IELTS prep,Ngữ pháp,Vocabulary: Work; Speaking: Introductions; Grammar: Present Perfect
A1,19,Phỏng vấn,Ví dụ,4,41,37,27,31,19,37,IELTS prep,Ngữ pháp,Reading: Short Stories; Writing: Paragraph Structure; Writing: Email Format
A1,19,Phỏng vấn,App,7,13,43,18,48,34,17,IELTS prep,Viết,Speaking: Daily Routine; Speaking: Introductions; Grammar: Past Simple
A2,31,IELTS 6.5,Ví dụ,4,46,48,53,55,58,30,General English,Nghe,Vocabulary: Work; Listening: Conversations; Writing: Email Format
B1,29,Giao tiếp,Đọc,15,64,55,55,54,75,77,Beginner path,Đọc,Grammar: Past Simple; Vocabulary: Travel; Writing: Email Format
B1,31,Phỏng vấn,Ví dụ,13,46,60,69,60,67,69,General English,Nghe,Listening: Conversations; Reading: Short Stories; Reading: News Articles
A2,34,Giao tiếp,Đọc,15,59,41,36,54,48,35,Conversation intensive,Viết,Reading: Short Stories; Listening: Map Labelling; Speaking: Daily Routine
B1,29,Phỏng vấn,Nghe,9,62,70,72,71,58,47,Beginner path,Đọc,Grammar: Past Simple; Writing: Paragraph Structure; Reading: News Articles
A2,29,Phỏng vấn,Ví dụ,1,26,47,48,56,55,30,Beginner path,Viết,Grammar: Past Simple; Listening: Conversations; Listening: Map Labelling
C1,21,Giao tiếp,Đọc,15,79,73,100,99,89,63,Conversation intensive,Nghe,Listening: Conversations; Grammar: Present Perfect; Vocabulary: Work
A2,27,IELTS 6.5,App,12,38,53,43,43,48,38,IELTS prep,Đọc,Reading: News Articles; Reading: Short Stories; Vocabulary: Work
B2,31,IELTS 6.5,Nghe,13,84,81,72,76,63,69,Beginner path,Từ vựng,Grammar: Past Simple; Listening: Conversations; Speaking: Introductions
